,Item,Quantity,Price Per Unit,Total Spent
0,Coffee,2,2.0,4.0
1,Cake,4,3.0,12.0
3,Salad,2,5.0,10.0
4,Coffee,2,2.0,4.0
5,Smoothie,5,4.0,20.0
7,Sandwich,4,4.0,16.0
9,Sandwich,5,4.0,20.0
10,Salad,5,5.0,25.0
11,Sandwich,2,4.0,8.0
12,Sandwich,2,4.0,8.0
13,Cookie,5,1.0,5.0
15,Salad,3,5.0,15.0
16,Sandwich,1,4.0,4.0
17,Juice,2,3.0,6.0
18,Cake,5,3.0,15.0
19,Juice,4,3.0,12.0
21,Smoothie,4,4.0,16.0
22,Sandwich,3,4.0,12.0
23,Sandwich,2,4.0,8.0
24,Sandwich,5,4.0,20.0
26,Cookie,5,1.0,5.0
27,Juice,4,3.0,12.0
28,Smoothie,5,4.0,20.0
29,Cake,4,3.0,12.0
32,Smoothie,4,4.0,16.0
34,Smoothie,2,4.0,8.0
35,Sandwich,1,4.0,4.0
37,Salad,2,5.0,10.0
38,Smoothie,4,4.0,16.0
39,Coffee,4,2.0,8.0
40,Smoothie,3,4.0,12.0
41,Sandwich,4,4.0,16.0
43,Juice,4,3.0,12.0
44,Cookie,2,1.0,2.0
45,Salad,3,5.0,15.0
46,Juice,4,3.0,12.0
47,Juice,5,3.0,15.0
48,Juice,5,3.0,15.0
49,Cake,3,3.0,9.0
50,Cake,5,3.0,15.0
51,Salad,5,5.0,25.0
53,Smoothie,3,4.0,12.0
54,Smoothie,5,4.0,20.0
58,Sandwich,4,4.0,16.0
59,Juice,5,3.0,15.0
60,Salad,1,5.0,5.0
62,Sandwich,1,4.0,4.0
64,Smoothie,4,4.0,16.0
67,Cookie,1,1.0,1.0
70,Tea,2,1.5,3.0
71,Cake,2,3.0,6.0
73,Salad,2,5.0,10.0
74,Smoothie,2,4.0,8.0
75,Coffee,1,2.0,2.0
76,Sandwich,4,4.0,16.0
77,Salad,1,5.0,5.0
78,Tea,5,1.5,7.5
79,Juice,4,3.0,12.0
80,Coffee,2,2.0,4.0
81,Sandwich,2,4.0,8.0
82,Cookie,2,1.0,2.0
83,Cake,3,3.0,9.0
84,Cake,4,3.0,12.0
86,Cake,5,3.0,15.0
87,Cookie,5,1.0,5.0
90,Tea,2,1.5,3.0
92,Juice,5,3.0,15.0
93,Coffee,3,2.0,6.0
95,Salad,3,5.0,15.0
96,Salad,5,5.0,25.0
97,Coffee,4,2.0,8.0
98,Juice,4,3.0,12.0
99,Coffee,4,2.0,8.0
101,Salad,3,5.0,15.0
102,Juice,2,3.0,6.0
103,Cake,4,3.0,12.0
105,Salad,4,5.0,20.0
106,Cookie,3,1.0,3.0
107,Cookie,3,1.0,3.0
108,Cookie,5,1.0,5.0
109,Tea,4,1.5,6.0
110,Sandwich,1,4.0,4.0
111,Smoothie,2,4.0,8.0
112,Smoothie,5,4.0,20.0
113,Juice,3,3.0,9.0
114,Coffee,5,2.0,10.0
115,Salad,2,5.0,10.0
116,Juice,3,3.0,9.0
119,Salad,2,5.0,10.0
120,Cake,2,3.0,6.0
121,Coffee,3,2.0,6.0
122,Cake,2,3.0,6.0
123,Coffee,5,2.0,10.0
124,Juice,3,3.0,9.0
125,Tea,4,1.5,6.0
126,Juice,5,3.0,15.0
127,Smoothie,4,4.0,16.0
128,Juice,2,3.0,6.0
129,Sandwich,2,4.0,8.0
130,Tea,1,1.5,1.5
131,Tea,1,1.5,1.5
132,Juice,4,3.0,12.0
133,Juice,5,3.0,15.0
134,Juice,2,3.0,6.0
135,Tea,5,1.5,7.5
136,Coffee,5,2.0,10.0
137,Salad,3,5.0,15.0
138,Sandwich,5,4.0,20.0
139,Tea,1,1.5,1.5
141,Cake,5,3.0,15.0
142,Coffee,1,2.0,2.0
144,Salad,2,5.0,10.0
145,Tea,5,1.5,7.5
148,Cake,4,3.0,12.0
149,Cake,2,3.0,6.0
150,Salad,5,5.0,25.0
152,Coffee,1,2.0,2.0
154,Coffee,5,2.0,10.0
155,Smoothie,2,4.0,8.0
156,Coffee,3,2.0,6.0
157,Salad,5,5.0,25.0
158,Coffee,2,2.0,4.0
159,Juice,2,3.0,6.0
160,Sandwich,3,4.0,12.0
163,Tea,2,1.5,3.0
166,Sandwich,3,4.0,12.0
167,Cake,3,3.0,9.0
169,Cookie,4,1.0,4.0
170,Sandwich,4,4.0,16.0
172,Coffee,3,2.0,6.0
173,Cookie,3,1.0,3.0
174,Cake,3,3.0,9.0
175,Cookie,5,1.0,5.0
176,Cookie,3,1.0,3.0
179,Smoothie,5,4.0,20.0
180,Sandwich,1,4.0,4.0
181,Smoothie,3,4.0,12.0
182,Cake,2,3.0,6.0
183,Salad,1,5.0,5.0
185,Cake,3,3.0,9.0
187,Smoothie,5,4.0,20.0
188,Coffee,4,2.0,8.0
190,Cake,5,3.0,15.0
191,Smoothie,1,4.0,4.0
192,Juice,4,3.0,12.0
193,Smoothie,2,4.0,8.0
194,Cookie,3,1.0,3.0
195,Cookie,4,1.0,4.0
199,Juice,3,3.0,9.0
200,Coffee,2,2.0,4.0
201,Cake,2,3.0,6.0
202,Smoothie,1,4.0,4.0
204,Coffee,3,2.0,6.0
205,Cookie,1,1.0,1.0
206,Smoothie,1,4.0,4.0
207,Tea,5,1.5,7.5
208,Smoothie,3,4.0,12.0
209,Sandwich,2,4.0,8.0
